"id","name","company","company_contact","tin_no","email","phone","active_yn","created_at","updated_at"
"1","Hospitality Technology Maldives","Hospitality Technology Maldives","info@htm.mv","HTM-0001","contact@htm.mv","+9601234567","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"2","Anantara Dhigu","Anantara Dhigu Enterprises","Dandre Stracke DDS","TIN00001","anantara.dhigu@resorts.mv","74256904","0","2025-07-31 12:37:05","2025-07-31 12:37:05"
"3","Baros Maldives","Baros Maldives Enterprises","Chester Greenfelder","TIN00002","baros.maldives@resorts.mv","77744747","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"4","Coco Bodu Hithi","Coco Bodu Hithi Hospitality","Ms. Itzel Kub","TIN00003","coco.bodu.hithi@resorts.mv","73354852","0","2025-07-31 12:37:05","2025-07-31 12:37:05"
"5","Dusit Thani","Dusit Thani Holdings","Sheila Larkin","TIN00004","dusit.thani@resorts.mv","75562845","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"6","Ellaidhoo Maldives","Ellaidhoo Maldives Hospitality","Otis Krajcik","TIN00005","ellaidhoo.maldives@resorts.mv","73663855","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"7","Fushifaru Maldives","Fushifaru Maldives Holdings","Stanley Gislason PhD","TIN00006","fushifaru.maldives@resorts.mv","73551078","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"8","Gili Lankanfushi","Gili Lankanfushi Enterprises","Darren Nader Sr.","TIN00007","gili.lankanfushi@resorts.mv","77389404","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
"9","Hurawalhi Island","Hurawalhi Island Island Group","Maureen Schultz","TIN00008","hurawalhi.island@resorts.mv","73521354","0","2025-07-31 12:37:05","2025-07-31 12:37:05"
"10","Innahura Maldives","Innahura Maldives Enterprises","Jillian Schuppe","TIN00009","innahura.maldives@resorts.mv","77140923","1","2025-07-31 12:37:05","2025-07-31 12:37:05"
